i,age1,age2,age3,age4,age5
1,0,0,0,0,1
2,0,0,0,0.2,0.8
3,0,0,0,0.4,0.6000000000000001
4,0,0,0,0.6000000000000001,0.4
5,0,0,0,0.8,0.2
6,0,0,0,1,0
7,0,0,0.2,0,0.8
8,0,0,0.2,0.2,0.6000000000000001
9,0,0,0.2,0.4,0.4
10,0,0,0.2,0.6000000000000001,0.2
11,0,0,0.2,0.8,0
12,0,0,0.4,0,0.6000000000000001
13,0,0,0.4,0.2,0.4
14,0,0,0.4,0.4,0.2
15,0,0,0.4,0.6000000000000001,0
16,0,0,0.6000000000000001,0,0.4
17,0,0,0.6000000000000001,0.2,0.2
18,0,0,0.6000000000000001,0.4,0
19,0,0,0.8,0,0.2
20,0,0,0.8,0.2,0
21,0,0,1,0,0
22,0,0.2,0,0,0.8
23,0,0.2,0,0.2,0.6000000000000001
24,0,0.2,0,0.4,0.4
25,0,0.2,0,0.6000000000000001,0.2
26,0,0.2,0,0.8,0
27,0,0.2,0.2,0,0.6000000000000001
28,0,0.2,0.2,0.2,0.4
29,0,0.2,0.2,0.4,0.2
30,0,0.2,0.2,0.6000000000000001,0
31,0,0.2,0.4,0,0.4
32,0,0.2,0.4,0.2,0.2
33,0,0.2,0.4,0.4,0
34,0,0.2,0.6000000000000001,0,0.2
35,0,0.2,0.6000000000000001,0.2,0
36,0,0.2,0.8,0,0
37,0,0.4,0,0,0.6000000000000001
38,0,0.4,0,0.2,0.4
39,0,0.4,0,0.4,0.2
40,0,0.4,0,0.6000000000000001,0
41,0,0.4,0.2,0,0.4
42,0,0.4,0.2,0.2,0.2
43,0,0.4,0.2,0.4,0
44,0,0.4,0.4,0,0.2
45,0,0.4,0.4,0.2,0
46,0,0.4,0.6000000000000001,0,0
47,0,0.6000000000000001,0,0,0.4
48,0,0.6000000000000001,0,0.2,0.2
49,0,0.6000000000000001,0,0.4,0
50,0,0.6000000000000001,0.2,0,0.2
51,0,0.6000000000000001,0.2,0.2,0
52,0,0.6000000000000001,0.4,0,0
53,0,0.8,0,0,0.2
54,0,0.8,0,0.2,0
55,0,0.8,0.2,0,0
56,0,1,0,0,0
57,0.2,0,0,0,0.8
58,0.2,0,0,0.2,0.6000000000000001
59,0.2,0,0,0.4,0.4
60,0.2,0,0,0.6000000000000001,0.2
61,0.2,0,0,0.8,0
62,0.2,0,0.2,0,0.6000000000000001
63,0.2,0,0.2,0.2,0.4
64,0.2,0,0.2,0.4,0.2
65,0.2,0,0.2,0.6000000000000001,0
66,0.2,0,0.4,0,0.4
67,0.2,0,0.4,0.2,0.2
68,0.2,0,0.4,0.4,0
69,0.2,0,0.6000000000000001,0,0.2
70,0.2,0,0.6000000000000001,0.2,0
71,0.2,0,0.8,0,0
72,0.2,0.2,0,0,0.6000000000000001
73,0.2,0.2,0,0.2,0.4
74,0.2,0.2,0,0.4,0.2
75,0.2,0.2,0,0.6000000000000001,0
76,0.2,0.2,0.2,0,0.4
77,0.2,0.2,0.2,0.2,0.2
78,0.2,0.2,0.2,0.4,0
79,0.2,0.2,0.4,0,0.2
80,0.2,0.2,0.4,0.2,0
81,0.2,0.2,0.6000000000000001,0,0
82,0.2,0.4,0,0,0.4
83,0.2,0.4,0,0.2,0.2
84,0.2,0.4,0,0.4,0
85,0.2,0.4,0.2,0,0.2
86,0.2,0.4,0.2,0.2,0
87,0.2,0.4,0.4,0,0
88,0.2,0.6000000000000001,0,0,0.2
89,0.2,0.6000000000000001,0,0.2,0
90,0.2,0.6000000000000001,0.2,0,0
91,0.2,0.8,0,0,0
92,0.4,0,0,0,0.6000000000000001
93,0.4,0,0,0.2,0.4
94,0.4,0,0,0.4,0.2
95,0.4,0,0,0.6000000000000001,0
96,0.4,0,0.2,0,0.4
97,0.4,0,0.2,0.2,0.2
98,0.4,0,0.2,0.4,0
99,0.4,0,0.4,0,0.2
100,0.4,0,0.4,0.2,0
101,0.4,0,0.6000000000000001,0,0
102,0.4,0.2,0,0,0.4
103,0.4,0.2,0,0.2,0.2
104,0.4,0.2,0,0.4,0
105,0.4,0.2,0.2,0,0.2
106,0.4,0.2,0.2,0.2,0
107,0.4,0.2,0.4,0,0
108,0.4,0.4,0,0,0.2
109,0.4,0.4,0,0.2,0
110,0.4,0.4,0.2,0,0
111,0.4,0.6000000000000001,0,0,0
112,0.6000000000000001,0,0,0,0.4
113,0.6000000000000001,0,0,0.2,0.2
114,0.6000000000000001,0,0,0.4,0
115,0.6000000000000001,0,0.2,0,0.2
116,0.6000000000000001,0,0.2,0.2,0
117,0.6000000000000001,0,0.4,0,0
118,0.6000000000000001,0.2,0,0,0.2
119,0.6000000000000001,0.2,0,0.2,0
120,0.6000000000000001,0.2,0.2,0,0
121,0.6000000000000001,0.4,0,0,0
122,0.8,0,0,0,0.2
123,0.8,0,0,0.2,0
124,0.8,0,0.2,0,0
125,0.8,0.2,0,0,0
126,1,0,0,0,0
